Subaccount Name,YTD Return%
JNL_Growth_Allocation,0.06280000000000001
JNL_Goldman_Sachs_Managed_Moderate_Growth,0.061
JNL_American_Funds_Moderate_Growth_Allocation,0.0583
JNL_DFA_US_Core_Equity,0.0581
JNL_JPMorgan_MidCap_Growth,0.0565
JNL_Multi_Manager_Small_Cap_Growth,0.0559
JNL_T_Rowe_Price_Mid_Cap_Growth,0.0552
JNL_Moderate_Growth_Allocation,0.0536
JNL_JPMorgan_Global_Allocation,0.0529
JNL_Vanguard_Growth_ETF_Allocation,0.0507
JNL_T_Rowe_Price_US_High_Yield,0.050499999999999996
JNL_Multi_Manager_Alternative,0.0504
JNL_BlackRock_Global_Allocation,0.047599999999999996
JNL_Moderate_Allocation,0.0471
JNL_WMC_Balanced,0.047
JNL_Goldman_Sachs_Managed_Moderate,0.046900000000000004
JNL_Vanguard_Moderate_Growth_ETF_Allocation,0.0461
JNL_Mellon_Consumer_Staples_Sector,0.0431
JNL_First_Sentier_Global_Infrastructure,0.0416
JNL_Vanguard_Moderate_ETF_Allocation,0.0406
JNL_iShares_Tactical_Growth,0.0406
JNL_iShares_Tactical_Moderate_Growth,0.0383
JNL_AQR_Large_Cap_Defensive_Style,0.0383
JNL_Conservative_Allocation,0.038
JNL_PIMCO_Investment_Grade_Credit_Bond,0.037000000000000005
JNL_PPM_America_High_Yield_Bond,0.0352
JNL_PPM_America_Floating_Rate_Income,0.0352
JNL_Fidelity_Institutional_Asset_Management_Total_Bond,0.035
JNL_Goldman_Sachs_Managed_Conservative,0.0348
JNL_Neuberger_Berman_Strategic_Income,0.0346
JNL_DoubleLine_Total_Return,0.0345
JNL_PPM_America_Total_Return,0.0345
JNL_American_Funds_Capital_Income_Builder,0.0342
JNL_DoubleLine_Core_Fixed_Income,0.0341
JNL_Invesco_Small_Cap_Growth,0.0341
JNL_iShares_Tactical_Moderate,0.0337
JNL_Franklin_Templeton_Income,0.0333
JNL_WMC_Government_Money_Market,0.030899999999999997
JNL_American_Funds_Balanced,0.0304
JNL_Mellon_Bond_Index,0.0304
JNL_Multi_Manager_Emerging_Markets_Equity,0.030299999999999997
JNL_WMC_Global_Real_Estate,0.0298
JNL_PIMCO_Real_Return,0.0288
JNL_Mellon_DowSM_Index,0.0286
JNL_American_Funds_Bond_Fund_of_America,0.0285
JNL_JPMorgan_US_Government_&_Quality_Bond,0.028399999999999998
JNL_Mellon_Emerging_Markets_Index,0.0275
JNL_American_Funds_Capital_World_Bond,0.0268
JNL_American_Funds_Washington_Mutual_Investors,0.026000000000000002
JNL_Mellon_Industrials_Sector,0.0245
JNL_Mellon_S&P_400_MidCap_Index,0.0239
JNL_Multi_Manager_Mid_Cap,0.0235
JNL_DoubleLine_Emerging_Markets_Fixed_Income,0.0215
JNL_Multi_Manager_Small_Cap_Value,0.0209
JNL_Goldman_Sachs_4,0.0199
JNL_Western_Asset_Global_Multi_Sector_Bond,0.0196
JNL_PIMCO_Income,0.0189
JNL_RAFI_Fundamental_US_Small_Cap,0.0171
JNL_Lord_Abbett_Short_Duration_Income,0.017
JNL_Heitman_US_Focused_Real_Estate,0.0148
JNL_T_Rowe_Price_Value,0.0139
JNL_T_Rowe_Price_Short_Term_Bond,0.013600000000000001
JNL_Invesco_Diversified_Dividend,0.013500000000000002
JNL_Mellon_Real_Estate_Sector,0.0131
JNL_JPMorgan_US_Value,0.012
JNL_Newton_Equity_Income,0.011899999999999999
JNL_RAFI_Multi_Factor_US_Equity,0.0116
JNL_Westchester_Capital_Event_Driven,0.0102
JNL_MFS_Mid_Cap_Value,0.0086
JNL_DFA_US_Small_Cap,0.0054
JNL_WMC_Value,-0.0018
JNL_Mellon_Small_Cap_Index,-0.0077
JNL_WMC_Equity_Income,-0.0086
JNL_Mellon_Healthcare_Sector,-0.0141
JNL_Mellon_Financial_Sector,-0.015700000000000002
JNL_Mellon_Utilities_Sector,-0.0217
JNL_Mellon_Energy_Sector,-0.0315
